speech_id,session,committee,date,issue,speaker,speaker_position,role_level,ministry,is_responsible,responsibility_tag,questioner,questioner_group,speech_text,speech_url
121604260X00220241218_005,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"まず、元旦の能登の大地震、その後の豪雨災害等を含めまして、お亡くなりになられた方に心からお悔やみ申し上げますとともに、被災された皆様方に心からお見舞いを申し上げます。
　そして、委員におかれては、御紹介がありましたように、政府の現地対策本部長として本当に全力でその対応に当たっていただきましたこと、心から敬意を表させていただきたいと思いますし、また、そのとき感じられたいろいろな問題意識を基に、今日は様々な御提言をいただいたものだというふうに承知しています。しっかりと受け止めさせていただきたいと思います。
　その上で、御指摘のとおり、政府に防災庁が仮に設置された場合においても、厚生労働省は保健、医療、福祉に関する災害対応の中心を担うということは変わりがないというふうに考えておりまして、今般の能登半島地震での教訓を踏まえまして、同分野における防災、減災の強化に取り組んでまいりたいと考えております。
　具体的には、先ほど保健、医療、福祉の各チームの連携に課題が生じていたというようなお話がございました。そういったことを踏まえまして、各チーム間の協働、連携強化を図るための研修であったり、訓練の強化や連絡会議の開催、また各チームの法定計画における位置づけの明確化、また被災地の情報が迅速に関係者の方々の間で共有できるような各種情報システムの充実を図るなど、厚生労働省が中心となって、各チームが一体となって活動できるような取組を進めていくことが大切だというふうに考えております。
　そしてもう一点は、それぞれの、保健、医療、福祉の各チーム等の体制整備という観点からいいますと、被災地の保健医療福祉調整本部における各チームの効果的な参画がなされるように、平時から保健医療福祉活動チームの体制整備、人材育成に取り組んでいくとともに、仮に有事の際においては、現地対策本部における厚生労働省の現地本部の体制整備、そして政府の現地対策本部、本省との連絡体制の円滑化、こういったものも着実に実施していく必要があるというふうに考えております。
　これらにより、物資の供給を始め、必要な支援が関係府省と一体的になって行えるように取り組んでまいりたいと存じます。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/5
121604260X00220241218_007,216,厚生労働委員会,2024-12-18,第2号,安藤たかお,厚生労働大臣政務官,大臣政務官,厚生労働省,True,担当,不明,不明,"どうも、古賀先生、御質問ありがとうございました。古賀先生には紹介会社の議連等で大変お世話になりまして、医療や介護団体の人たちも非常に期待をしているという言葉をいただいております。
　まず、募集情報等の提供事業について、先ほどお話がありましたように、ＩＣＴの発展によって、従来はなかった様々なサービスが展開をされている中、求職者が安心して利用できる環境を整えるために、募集情報の的確表示の義務を設けるなど、これは令和四年に職業安定法を改正して対応したところでございます。
　また、先生御指摘のように、人手不足が進行して、同事業が労働市場に果たす役割が非常に大きくなっている中、事業の健全な運営を確保するため、来年四月から、早期離職やトラブルの原因となっている、これは大きな問題ですけれども、就職お祝い金を職業紹介事業と同様にこの事業においても原則禁止をするとともに、違約金など、想定していない請求を受けることがないように、規約内容を分かりやすく明示する義務を果たすことといたしました。
　また、先ほどお話がありましたけれども、大きな問題ですけれども、犯罪実行者を募集する闇バイト、この募集も重大な社会問題になってきております。
　厚生労働省では、募集情報等の提供事業を含む雇用仲介を行う事業者や団体に対して、求人掲載前に業務の内容等の確認を十分に行うことを求めてきました。また、昨日、お話があったように、犯罪対策閣僚会議において、ＳＮＳ等での労働者の募集広告において、募集主の氏名それから住所、そして連絡先や業務の内容等の表示が求められることを厚生労働省において明確化するとともに、関係機関等の連携による削除の要請を実行して行うことを決定をいたしました。
　そのようなことで、しっかりとこの問題、行っていきたいと思いますので、どうかまた御指導賜りますよう、よろしくお願いします。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/7
121604260X00220241218_013,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"委員の御地元の福島県も、私も佐賀県という地方の出身でありますから、やはり地方においては、この医師偏在の問題、大変大きな課題だというふうに感じております。
　医師偏在対策につきましては、これまで、御指摘がありましたように、地域枠の設置など医師を養成する過程での取組、そして地域枠医師の配置調整、これは都道府県でやっていただいていますが、医師確保計画に基づく取組を進めてきたところでございます。その結果、医師少数県の若手の医師数が医師多数県と比べて増加するなど、一定の効果が見られているものというふうに認識をしています。
　こうした中、検討会の医師偏在対策に関するとりまとめにおきましては、人口減少より医療機関の減少スピードが速い地域を重点医師偏在対策支援区域に設定をいたしまして、優先的、重点的に対策を進めることが示されておりまして、御指摘のとおり、地域枠の医師にもこうした地域で御活躍いただくことが大変重要であるというふうに考えております。
　このため、地域枠の医師に医師不足地域等で御活躍いただくための環境整備に向けまして、経済的なインセンティブであったり、また、医師の派遣等に係る都道府県と大学病院等との連携パートナーシップ協定等を組み合わせた取組を、年末に策定いたします総合的な医師偏在対策パッケージ、この中で検討してまいりたいというふうに考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/13
121604260X00220241218_015,216,厚生労働委員会,2024-12-18,第2号,吉田真次,厚生労働大臣政務官,大臣政務官,厚生労働省,True,担当,不明,不明,"今委員御指摘のとおり、医療分野でのＩＣＴの利活用、これは治療の質の向上のみならず、医療従事者の今ほどございました負担軽減、そして医療現場の効率性の向上のためにも重要であると考えているところであります。
　このため、医療現場の負担軽減をまず目指して、医療機器の開発支援に加えて、医療機器以外の、ＡＩやＩＣＴを活用した機器の開発支援を行うとともに、医療従事者の労働時間の短縮等も含めた医療機器の有用性が実証できる拠点の整備、これを行うこととしております。
　また、医療現場でのＩＣＴ機器の普及に関してでございますけれども、看護業務の効率化の取組を収集、周知する事業などを通じて導入が進められてきたところではありますが、このより一層の推進に向けて今般の令和六年度補正予算においても追加の対策を盛り込んだところであり、こうした取組を通じて、医療現場の負担軽減につながるＩＣＴ機器の開発やそして普及、これを推進するとともに、その効果等についても検証して、周知をしてまいりたいと思っております。
　以上でございます。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/15
121604260X00220241218_017,216,厚生労働委員会,2024-12-18,第2号,吉田真次,厚生労働大臣政務官,大臣政務官,厚生労働省,True,担当,不明,不明,"今委員の御指摘のとおり、現場からは、電子処方箋やあるいは電子カルテ等のシステム改修がお話があったように五月雨的に発生することは、やはり医療機関にとって負担が大きいという意見をいただいているところであります。
　そのため、医療機関のシステム改修であったりあるいは診療報酬改定のタイミングでのシステムの改修を促すとともに、電子カルテを未導入の診療所に向けて開発を進めている標準型電子カルテに、電子処方箋及び電子カルテ情報共有サービスと連携をする機能も併せて搭載をすることとしております。
　また、医療機関の支援、これにつきましては、令和五年二月から病院、診療所を対象に電子処方箋の導入費用の補助、そして令和六年三月末からは病院を対象に電子カルテの標準規格化の改修費用の補助、これを行うなど、電子カルテ情報の共有のために必要な支援策を行っているところであります。
　引き続きまして、医療機関の負担に十分配慮しながら、スピード感を持って電子処方箋や電子カルテの普及を進めていきたいというふうに思っております。
　そしてまた、御指摘のありました医療機関等での患者の医療情報、これの共有についてでありますけれども、災害時や緊急時、これにおいても、より安全な医療を提供できるようになるというふうに考えているところであります。これは電子カルテ情報共有サービスの大きなメリットではないかなというふうに思いますが、まずは、医療現場におけるニーズの高い三文書六情報の共有を進めてまいるところではありますけれども、順次、これは対象となる情報の範囲を拡大をしてまいります。具体的には、今後、透析の情報、蘇生処置に関する情報、歯科や看護の情報等の標準規格化を行う予定でございます。
　共有する情報の更なる拡充、これにつきましては、まずは医療現場におけるニーズと、それからシステム改修に伴う負担感、こうしたものにも配慮をしつつ、医療関係者の意見をよく聞きながら検討を進めてまいりたいと思っているところでございます。
　以上でございます。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/17
121604260X00220241218_019,216,厚生労働委員会,2024-12-18,第2号,吉田真次,厚生労働大臣政務官,大臣政務官,厚生労働省,True,担当,不明,不明,"お答えを申し上げます。
　医学、医療分野のイノベーションを進めていく、そして国民、患者にその成果を還元するためには、今委員からございましたように、医療等情報の二次利用、これを推進をしていく必要があると思っております。
　そのため、厚生労働省では、本人の権利利益を適切に保護しながら、医療、介護関係の公的データベースや電子カルテ情報について、研究利用でより有用性が高い仮名化情報の利用、提供を可能とすることなどについて、今、審議会等で検討しているところでございます。
　また、データ利用に当たっては、これも委員から御指摘をいただいたように、適切に個人情報の保護を図るとともに、必要な情報セキュリティー対策を講じる必要がございます。このため、仮名化情報を利用する場合、匿名化情報よりも厳格な措置を国及び利用者に義務づける、そしてまた、仮名化情報は、データ自体を共有しないクラウド環境での利用を基本として、国が利用状況を監視、監督をする、こうしたことを検討しているところであります。
　医療等情報の二次利用の意義や、個人情報保護や情報セキュリティー対策の内容、これにつきましては、国民や患者の皆様にしっかり周知をし、御理解を得ながら丁寧に進めてまいりたいと思っております。
　以上でございます。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/19
121604260X00220241218_023,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"委員御指摘の、国庫負担なしとした場合の試算につきましては、基礎年金のマクロ経済スライドによる給付調整の早期終了について様々な検討を行う中で、現行制度よりも増加する国庫負担の必要性を確認すること等を目的にし、仮に国庫負担が現行制度より増加しないとした場合にどのような影響があるかを試算したものでございます。
　厚生労働省において、本年七月に行われました財政検証公表、この前後の時期において作成をしたというふうに聞いております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/23
121604260X00220241218_025,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,あくまでも様々なシミュレーションを行う中での一つの資料ということでございまして、そういう意味において内部資料だったということでございます。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/25
121604260X00220241218_027,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,国庫負担割合は五〇％から四二％に低下するということでございます。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/27
121604260X00220241218_029,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"給付調整の早期終了により現行と比較して年金が上昇するケースは、国庫負担を入れる場合は、成長経済移行・継続ケースでは全ての受給者であること、過去三十年投影ケースでは二〇五〇年度以降において九九・九％以上ということをこれまで申してきました。
　一方、仮に議員が御指摘の国庫負担なしとした場合、これにおいても、経済成長型移行・継続ケースでは全ての受給者で上昇する一方、過去三十年投影ケースにおきましては二〇五〇年度以降において約九〇％となる、この場合は年収六百五十万円以下の方となります。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/29
